DOI,Citation_context,Source,file ID,Year,Journal
10.2174/1385272819666150727221521,,Scopus citing DOI,,2015,Current Organic Chemistry
10.3788/CO.20150801.0091,,Scopus citing DOI,,2015,Chinese Optics
10.5935/1984-6835.20150073,,Scopus citing DOI,,2015,Revista Virtual de Química
10.1002/adma.201504891,"“…The authors pointed that large particle sizes and high nitrogen contents are responsible for the effi cient red emission. [ 7,8 ] Owing to these merits, CNDs can be used in a wide range of technologies, such as bioimaging, [ 9,10 ] fl uorescent probes, [ 11,12 ] optoelectronic devices, [13][14][15][16][17] and white light emitting diodes (WLEDs). A few effi cient blue and green emissive CND-based phosphors have been reported by several groups for application in WLEDs.…”",Scite,,2016,Advanced Materials
10.1002/adma.201504891,"“…[ 28,29 ] In this work, we report new orange emissive CNDs and propose a new strategy of realizing effi cient orange emission from the CNDs through conjugated sp 2 -domain controlling and surface charges engineering. [ 7,8 ] Owing to these merits, CNDs can be used in a wide range of technologies, such as bioimaging, [ 9,10 ] fl uorescent probes, [ 11,12 ] optoelectronic devices, [13][14][15][16][17] and white light emitting diodes (WLEDs). Highly orange emissive CNDs (CND1) with PL quantum yield of 46% were achieved through surface metalcation-functionalizing from the solvothermally synthesized Luminescent carbon nanodots (CNDs) have attracted great interest because they for the fi rst time endow carbon nanomaterials with excellent luminescent property and open a promising prospect of C-luminescence.…”",Scite,,2016,Advanced Materials
10.1002/cnma.201500228,"“…Carbon nanodots (CNDs) are a type of biocompatible fluorescent nanomaterials that can be obtained through simple, low‐toxicity, low‐cost chemical reactions [refs]. Recently, there has been plenty of literature reporting the fluorescence from CNDs [refs]. However, the fluorescence properties reported by different groups vary greatly, [refs] for instance, some of them are excitation‐dependent while others are excitation‐independent [refs].…”",Scite,,2016,ChemNanoMat
10.1002/cnma.201500228,"“…In the past years, many works have contributed to develop fluorescent CNDs. Particularly, ratiometric fluorescent sensors have been designed by doping and surface modification [ref]. However it is still rare that CNDs exhibit conspicuous dual emission under single‐wavelength excitation without introducing any additional fluorescent moiety, which implies easy preparation and low cost [refs].…”",Scite,,2016,ChemNanoMat
10.1002/cnma.201500228,"“…[1][2][3] Recently,t here has been plenty of literature reporting the fluorescencef rom CNDs. [1][2][3][4][5][6][7][8][9][10][11][12][13][14][15][16][17][18] However,t he fluorescence properties reported by differentg roups vary greatly, [4][5][6][7][8][9][10][11][12][13][14][15][16][17][18] for instance, some of them are excitation-dependentw hile others are excitation-independent. [4,5] This diversity may be ascribed to different preparation methods and reactants, which lead to different surfaces, sizes and structures.…”",Scite,,2016,ChemNanoMat
10.1002/cnma.201500228,"“…[4,5] This diversity may be ascribed to different preparation methods and reactants, which lead to different surfaces, sizes and structures. Regardless of the fabrication strategies used for the fluorescent CNDs,t hey are widely appliedf or bioimaging and biosensing, [7][8][9][10][11][12][13] such as in fluorescent sensors for temperature, pH andm etal-ion concentration. [10][11][12][13] Generally speaking, fluorescent sensors work based on the principle that variations in circumstances cause changes in fluorescentc haracteristics such as wavelength,l ifetime and intensity.I no ther words, the fluorescent variationsr eflect the changes in temperature, pH and metal-ion concentration, etc.…”",Scite,,2016,ChemNanoMat
10.1002/cnma.201500228,"“…Particularly,r atiometric fluorescent sensors have been designed by doping and surfacem odification. [10,[22][23][24][25] Howeveri ti ss till rare that CNDs exhibit conspicuous dual emission under single-wavelength excitation without introducing any additional fluorescent moiety,w hich implies easy preparation andl ow cost. [12,16,17] Previous works have revealed that both graphene quantum dots (GQDs)a nd CNDs have two emissive centers:o ne is ac arbon defect state and the other is the sp 2 carbon cluster with size effect.…”",Scite,,2016,ChemNanoMat
10.1002/cnma.201500228,"“…This diversity may be ascribed to different preparation methods and reactants, which lead to different surfaces, sizes and structures. Regardless of the fabrication strategies used for the fluorescent CNDs, they are widely applied for bioimaging and biosensing, [refs] such as in fluorescent sensors for temperature, pH and metal‐ion concentration [refs]…”",Scite,,2016,ChemNanoMat
10.1007/978-3-319-28782-9_6,"“…30c). In one of their follow-up work, AE-TPEA modified CDs were hybridized with CdSe/ZnS QDs as dual-emission fluorophore, in which red-emission CdSe/ZnS QDs embedded in silica shells were inserted to Cu 2+ [235]. Therefore, Upon the addition of Cu 2+ , the intensity of blue emission from CDs showed continuous quenching, whereas that of red emission from the QDs still remained constant.…”",Scite,,2016,Carbon Nanostructures
10.1007/978-3-319-28782-9_6,"“…c Confocal PL images of HepG 2 (A) and HeLa cells (D) incubated with CD-TPEA in PBS (pH 7.4), overlay of confocal PL and bright-field images of HepG 2 (B) and HeLa cells (E) stained with CD-TPEA, confocal fluorescence images of HepG 2 (C) and HeLa cells (F) which were first stained with CD-TPEA and then incubated with CuCl 2 and 100 mM PDTC [234]. d PL spectra of the (upper figure), and PL colors (lower figure) of CdSe@C-TPEA ratiometric probe solutions after exposure to CuCl 2 [235] Qu's group modified CDs with amino groups through a hydrothermal route [237]. The obtained CDs showed a satisfactory selectivity toward Cu 2+ , even in living cells.…”",Scite,,2016,Carbon Nanostructures
10.1016/j.nantod.2016.05.010,"“…Scale Bar: 25 μm. (Reprinted with permission from [248]. Copyrights 2012 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim)…”",Scite,,2016,Nano Today
10.1016/j.nantod.2016.05.010,"“…Due to the biocompatibility of the carbon materials, they can be readily used in biological applications [242]. The Tian group integrated an organic molecule specific for Cu 2+ ions into a hybrid system composed of carbon and CdSe/ZnS QDs (Figure 16A), allowing for a selective and sensitive ratiometric strategy for intracellular sensing and imaging of Cu 2+ [248]. The fluorescent probe can monitor Cu 2+ in a concentration range from 5 - 200 μM in a physiological pH environment.…”",Scite,,2016,Nano Today
10.1021/acs.analchem.5b04043,"“…QDs are superior over others in terms of broad absorption and (composition-) size-tunable narrow-band emission, enabling different band emissions by a single-wavelength excitation.  [ref], [ref]  With benefits of such optical properties, different colored QDs can be easily used to create a multicolor system for constructing ratiometric fluorescent sensors. In the past few years, with the configuration of either a mixture [ref], [ref]  or a nanohybrid,  [ref], [ref]  the QDs-based ratiometric sensors have been successfully used for visual and sensitive detection of metal ions,  [ref]−[ref] [ref] [ref]  TNT,  [ref], [ref]  and amino acids [ref]. It will be desirable, in combination with the ratiometric fluorescence technique, to develop fluorescent DNA sensors with further improved sensitivity and accuracy as well as visual detection.…”",Scite,,2016,Analytical Chemistry
10.1021/acs.analchem.5b04043,"“…Ratiometric fluorescent sensors, which allow the measurement of changes in the ratio of the fluorescence intensities at two well-resolved wavelengths, have received intense attention in recent years.  [ref], [ref]  Compared to first-generation intensity sensors, the ratiometric fluorescent assay has achieved improved sensitivity and accuracy by providing built-in correction for environmental conditions [ref]. Meanwhile, the ratiometric fluorescent sensor provides an improved visual detection technique to indicate the presence of an analyte by displaying continuous color changes [ref].…”",Scite,,2016,Analytical Chemistry
10.1021/acs.analchem.5b04043,"“…32,33 Compared to first-generation intensity sensors, the ratiometric fluorescent assay has achieved improved sensitivity and accuracy by providing built-in correction for environmental conditions. 34 Meanwhile, the ratiometric fluorescent sensor provides an improved visual detection technique to indicate the presence of an analyte by displaying continuous color changes. 35 QDs are superior over others in terms of broad absorption and (composition-) sizetunable narrow-band emission, enabling different band emissions by a single-wavelength excitation.…”",Scite,,2016,Analytical Chemistry
10.1021/acs.analchem.6b03470,"“…As shown (Figure D, curve a), the FTIR spectrum of amine SiO 2 @QD exhibited two bands at 3276 and 1090 cm –1 , which are assigned to the stretching vibrations of N–H and Si–O–Si, respectively. TPP shows the specific absorption band of carboxyl groups (Figure S4, curve a, Supporting Information) at 3362 cm –1 ( V O–H ), 1705 cm –1 ( V CO ), and 1106 cm –1 ( V C–O ).  [ref], [ref]  The new emerging band at 1658 cm –1 in FTIR spectrum of TPP-SiO 2 @QD nanoparticles (Figure D, curve b) indicates the formation of an amide group between TPP and amine SiO 2 @QD [ref]. FTIR spectrum of FITC (Figure S4, curve b, Supporting Information) gives four characteristic peaks located at 3081, 2024, 1735, and 1596 cm –1 , which are ascribed to the vibrations of O–H, NCS, CO, and C–O–C, respectively [ref].…”",Scite,,2016,Analytical Chemistry
10.1021/acs.analchem.6b03470,"“…Over the past decades, several elegant methods have been reported for monitoring of O 2 •– or pH, including electron paramagnetic resonance (EPR), fluorescent spectroscopy, electrochemical approaches, and so on.  [ref]−[ref] [ref] [ref] [ref] [ref] [ref]  Fluorescence technique is a powerful tool for studying cell biology because of their noninvasive feature, high spatial, and temporal resolution.  [ref]−[ref] [ref] [ref]  In recent years, a number of attractive fluorescent probes specific for either O 2 •– or pH have been reported.  [ref]−[ref] [ref] [ref]  Our group is very interested in determination of ROS and other related molecules involved in oxidative stress.  [ref]−[ref] [ref] [ref] [ref]  We have designed and developed several fluorescent biosensors for O 2 •– , • OH, pH, and Cu 2+ in live cells and tissues.  [ref]−[ref] [ref] [ref]  However, to the best of knowledge, there is still no report on the simultaneous determination of O 2 •– and pH in live cells. To achieve the dual-response probe for monitoring of mitochondrial O 2 •– and pH, fluorescent probe should possess distinct emission profiles to avoid the spectral overlap and capability to discriminate O 2 •– and pH without cross-talk, as well as mitochondria-targeting ability [ref].…”",Scite,,2016,Analytical Chemistry
10.1021/acs.analchem.6b03470,"“…In order to obtain the nanosensor, CdSe/ZnS QD800 were initially incorporated into silica matrix through a water-in-oil microemulsion process according to our previously reported method. 34 Briefly, 20 μL of QD800 was mixed with 1.87 mL of cyclohexane, 0.45 mL of Triton X-100 and n-hexanol for 10 min. Then, 50 μL of aqueous ammonia was added dropwise.…”",Scite,,2016,Analytical Chemistry
10.1021/acsami.5b11317,"“…Temperature is one of the most frequently measured parameters that governs biological reaction within living cells.  [ref]−[ref] [ref]  The accurate measurement of temperature and its gradient inside a living cell can promote advancements in cell biology and biomedicine.  [ref]−[ref] [ref]  To this end, fluorescence-based temperature sensors have shown great potential since they operate as “non-contact” tools and offer the dual functions of cellular imaging and temperature sensing at the molecular level.  [ref]−[ref] [ref]  Many promising fluorescent nanomaterials, such as quantum dots, carbon nanomaterials, rare earth-doped nanoparticles and copper nanoclusters, have been exploited.  [ref]−[ref] [ref] [ref]  These optical temperature sensors rely on changes in luminescence intensity as the reporting mechanism (for example, an increase in nonradiative decay rate with temperature leading to decreasing luminescence).  [ref], [ref]  However, intensity-based temperature sensors are often susceptible to errors due to changes in probe concentration, the efficiency of excitation or detection, or a lack of specificity for temperature (for example, luminescence may be quenched by oxygen, sensor aggregation, or changes in pH, in addition to the aforementioned reduction due to temperature increase).  , [ref]  Changes in the sensor local environment are difficult to control in complicated systems such as cells or microdevices, and can thereby cause inaccurate temperature measurement. Compared with them, dual-emitting sensors show resolvable luminescence emissions from two different excited states.  [ref], [ref]  Thus, dual-emitting temperature sensors have attracted much attention since they operate as “non-contact” tools and accurately measure temperature [ref]. Several dual-emitting nanomaterials, such as CdSe/ZnS nanocrystals, rare earth-doped nanoparticles, and polymer dots have shown potential for nanothermometry in biological systems, especially living cells,  [ref]−[ref] [ref]  but high toxicity or instability has limited their further application.…”",Scite,,2016,ACS Applied Materials &amp; Interfaces
10.1021/acsami.5b11317,"“…Carbon dots, as an important class of photoluminescence (PL) nanomaterials, have been the subject of extensive research over the past decade because of inherent advantages such as low cost, reduced toxicity, biocompatibility, and excellent photoresponse.  [ref]−[ref] [ref]  Carbon dots (CDs) have been applied widely in the fields of bioimaging, printing inks, photocatalysis, and sensors.  [ref]−[ref] [ref] [ref] [ref]  Thus, far, CDs have been prepared by both top-down and bottom-up strategies in the aqueous phase.  [ref], [ref]  However, such water-based syntheses may suffer from a very broad size distribution (so an additional size selection step is required) and low product yield. Although dual-emitting nanomaterials based on CDs or metal nanoclusters (NCs) have been shown to function as nanosensors for ascorbic acid, Cu 2+ , Hg 2+ , and highly reactive oxygen species,  [ref], [ref]−[ref] [ref]  there have been no reports thus far of CD/NCs-based dual-emitting probes for ratiometric temperature detection in living cells. The emissions of most CDs are centered in the blue and green regions,  [ref]−[ref] [ref] [ref]  which may be unfavorable for biological applications because of the harm that short-wavelength radiation may cause to living cells or biosystems.…”",Scite,,2016,ACS Applied Materials &amp; Interfaces
10.1002/9783527692866.ch14,,Scopus citing DOI,45.pdf,2016,Biomedical Applications and Toxicology of Carbon Nanomaterials
10.1002/smll.201503958,"“…Carbon nanodots (C‐dots) have emerged and attracted tremendous attention[refs] due to their unique properties, such as excellent photostability, good biocompatibility, and facile preparation [refs]. Among these merits, the fluorescence brightness of C‐dots is important for putting C‐dots into applications, including drug release, [ref] detection, [refs] bioimaging, [refs] and theranostics [ref]. The brightness of C‐dots largely determines the sensitivity of detection, the quality of bioimaging, and the signal‐to‐noise ratio of theranostics.…”",Scite,,2016,Small
10.1007/978-3-319-24823-3,"including several cell lines and particle types provide the concentration-, time-, cell-, and material-dependent response of cell proliferation to nanomaterial encounter [110].",SemSchol&FB,,2016,Bioanalytical Reviews
10.1007/s00604-015-1682-6,"In Zhu’s work [11], a dual-emission CdSe@C–TPEA nanohybrid sphere was designed in which CdSe@C-dots and TPEA served as fluorophores and the receptor for Cu, respectively.",SemSchol&FB,,2016,Microchimica Acta
10.1007/s00604-016-1867-7,,Scopus citing DOI,1.pdf,2016,Microchimica Acta
10.1007/s10853-016-0081-7,,Scopus citing DOI,118.pdf,2016,Journal of Materials Science
10.1007/s10853-016-9797-7,,Scopus citing DOI,152.pdf,2016,Journal of Materials Science
10.1007/s40820-015-0077-x,"Recently, efforts are being made to use nanostructured modified electrodes for monitoring specific biological species in vivo [8] which opens up the possibility to detect a specific molecule in living organisms.",SemSchol&FB,,2016,Nano-Micro Letters
10.1016/j.apsusc.2016.07.048,,Scopus citing DOI,46.pdf,2016,Applied Surface Science
10.1016/j.biomaterials.2016.06.056,,Scopus citing DOI,84.pdf,2016,Biomaterials
10.1016/j.bios.2016.01.083,"…fluorescent probes and applications were based on the monodisperse water-soluable QDs that were synthesized by the strategies such as surface functionalization with water-soluble ligands, silanization and encapsulation within block-copolymer micelles (Zhu et al., 2012; Zrazhevskiy et al., 2010).",SemSchol&FB,,2016,Biosensors and Bioelectronics
10.1016/j.bios.2016.02.066,"…electrode interface control and by introducing internal stable signals to fabricate “ratiometric immunosensors,” which can provide an intrinsic built-in correction to environmental factors to improve reproducibility (Zhang et al., 2011; Zhu et al., 2012; Yan et al., 2015a; Yan et al., 2015b).",SemSchol&FB,,2016,Biosensors and Bioelectronics
10.1016/j.carbon.2015.10.051,,Scopus citing DOI,150.pdf,2016,Carbon
10.1016/j.ccr.2015.11.012,,Scopus citing DOI,103.pdf,2016,Coordination Chemistry Reviews
10.1016/j.matpr.2016.02.043,,Scopus citing DOI,42.pdf,2016,Materials Today: Proceedings
10.1016/j.mattod.2015.11.008,,Scopus citing DOI,162.pdf,2016,Materials Today
10.1016/j.nantod.2015.09.002,,Scopus citing DOI,149.pdf,2016,Nano Today
10.1016/j.snb.2015.10.046,,Scopus citing DOI,40.pdf,2016,Sensors and Actuators B: Chemical
10.1016/j.snb.2015.11.134,,Scopus citing DOI,96.pdf,2016,Sensors and Actuators B: Chemical
10.1016/j.snb.2016.02.002,,Scopus citing DOI,153.pdf,2016,Sensors and Actuators B: Chemical
10.1016/j.snb.2016.04.004,,Scopus citing DOI,95.pdf,2016,Sensors and Actuators B: Chemical
10.1016/j.snb.2016.05.103,,Scopus citing DOI,156.pdf,2016,Sensors and Actuators B: Chemical
10.1016/j.talanta.2016.08.031,,Scopus citing DOI,47.pdf,2016,Talanta
10.1016/j.talanta.2016.08.046,,Scopus citing DOI,117.pdf,2016,Talanta
10.1021/acs.analchem.5b04936,"“…Monitoring metal ions and bioactive small molecules is of particular importance because of their ubiquitous presence in living organisms for a variety of physiological functions.  [ref]−[ref] [ref] [ref] [ref] [ref] [ref] [ref] [ref] [ref] [ref] [ref]  For example, potassium ion (K + ) serves particularly important roles in triggering the activation of many signal transduction pathways, maintaining muscular strength, preventing cerebellar granule neuron apoptosis, and so forth.  [ref]−[ref] [ref]  The imbalance of K + may result in various diseases like vascular diseases and neural dysfunction.  [ref], [ref]  As an example of bioactive small molecules, protoporphyrin IX (PPIX) is the biosynthesis precursor of heme, which is critical in oxygen transportation-associated energy metabolism and various inflammatory lesions.  [ref], [ref]  More interestingly, recent studies have revealed that K + and PPIX can be closely linked to each other via heme in several ways (Figure S1).  [ref]−[ref] [ref]  For example, cellular-free heme derived from PPIX is able to bind to the “ball-and-chain” N terminus of A-type K + channels, and the binding enhances the efflux of K + and subsequently reduces cellular excitability [ref].…”",Scite,,2016,Analytical Chemistry
10.1021/acs.analchem.6b02081,"“…Considerable contemporary effort has been devoted to the development of an efficient method for detection and quantification of ClO – or GSH under physiological conditions. A number of methods such as an electrochemical assay, mass spectrometry, high-performance liquid chromatography (HPLC), and a fluorescence method have been developed.  [ref]−[ref] [ref] [ref] [ref] [ref] [ref] [ref]  Among them, the fluorescence method is an attractive approach in terms of sensitivity, spatial and temporal resolution, and ease of use in live cells and tissues.  [ref]−[ref] [ref]  However, it usually suffers from photobleaching and phototoxicity. Surface-enhanced Raman spectroscopy (SERS) has become a powerful analytical technique to provide molecular fingerprint information on various biomolecules, even in live cells and tissues.  [ref]−[ref] [ref] [ref] [ref] [ref]  Compared with other methods, it has remarkable advantages in biochemical applications, including ultrahigh sensitivity, high spectral resolution for multiplex detection, flexible excitation wavelengths, noninvasive to biological samples, and particularly resistance to photobleaching and autofluorescence.…”",Scite,,2016,Analytical Chemistry
10.1021/acs.chemmater.6b01792,"“…Carbon dots (CDs), a newly emerging kind of 0D carbon material, have gained considerable attention as photofunctional materials in the recent decade. Compared with traditional semiconductor quantum dots (QDs) and organic fluorophores, CDs afford extraordinary optical/chemical advantages including high aqueous solubility, low toxicity, good biocompatibility, and excitation-dependent photoluminescence (PL) emission property.  [ref]−[ref] [ref] [ref] [ref] [ref]  To date, various synthetic approaches (e.g., laser ablation, electrochemical method, microwave and hydrothermal synthesis [ref]−[ref] [ref] [ref] [ref] ) have been reported to produce CDs, and their potential applications have been extensively explored in bioimaging, photocatalysis, optoelectronics, and sensors.  [ref]−[ref] [ref] [ref] [ref] [ref]  However, due to the aggregation-induced PL quenching in the powdered samples, most previous studies on CDs were carried out in aqueous environment, and the development in their solid state properties and applications was rather limited. To the best of our knowledge, only few reports were focused on CDs-based solid fluorescent devices via surface modification immobilization or incorporation in polymer matrix,  [ref]−[ref] [ref]  with frequent change in emission wavelength or loss in quantum yield.…”",Scite,,2016,Chemistry of Materials
10.1021/acs.chemmater.6b03049,"“…Carbon dots (CDs), as an important class of photoluminescent (PL) nanomaterials, have received much attention in bioimaging,  [ref]−[ref] [ref] [ref] [ref] [ref]  light-emitting diodes (LEDs),  [ref]−[ref] [ref] [ref] [ref]  photocatalysis,  [ref]−[ref] [ref] [ref]  and sensors [ref]−[ref] [ref] [ref]  because of their low toxicity, eco-friendly preparation, high chemical stability, and low level of photobleaching. However, nearly all research focuses on the development of CDs based on fluorescence, and much less attention is paid to the phosphorescent phenomenon and their related applications.  [ref]−[ref] [ref] [ref] [ref]  Purely organic room-temperature phosphorescent (RTP) materials have broader opportunities (for example, long lifetime imaging [ref], [ref]  and electroluminescent devices[ref]) compared to those of their fluorescent counterparts due to the involvement of triplet excited states and comparatively slower decay rates [ref].…”",Scite,,2016,Chemistry of Materials
10.1021/acsami.5b11551,"“…Carbon nanodots (CNDs) are emerging as superior and universal fluorophores because of their many merits, including excellent photostability, small size, facile functionalization, low toxicity, favorable biocompatibility, and inert chemical properties.  [ref]−[ref] [ref] [ref] [ref] [ref] [ref]  As new carbonaceous photoluminescent nanodots, CNDs provide additional opportunities for bioimaging [ref]−[ref] [ref]  and related optical sensing.  [ref]−[ref] [ref] [ref]  Since their initial discovery by arc-discharge methods, [ref] CNDs have been studied and fabricated by numerous research groups hoping to achieve better synthetic routes, glean a better understanding of the origins of their photophysical behaviors, and develop novel applications for the emergent nanomaterials [ref]…”",Scite,,2016,ACS Applied Materials &amp; Interfaces
10.1021/acsami.5b12084,"“…Carbon-based materials like carbon dots (CDs) exhibit unique properties, such as photostability, low cytotoxicity, and high biocompatibility.  [ref]−[ref] [ref]  As an alternative to traditional semiconducting quantum dots usually containing heavy metal, the fascinating properties have enabled CDs to be a great tool for biological labeling.  [ref]−[ref] [ref]  Although the excitation-dependent photoluminescence (PL) of CDs can provide various fluorescence emissions at different excited wavelengths, it seems difficult to directly obtain single excitation/dual maximum emission from the CDs. Therefore, various approaches have been designed to synthesize CD-based nanoparticles allowing development of multifunctional materials with dual fluorescence.  [ref]−[ref] [ref] [ref]  Most of the composite nanoparticles are hybrid from different particles, which may lead to the change of their intrinsic properties. In addition, the preparation of these composites was a bit of troublesome.…”",Scite,,2016,ACS Applied Materials &amp; Interfaces
10.1021/acsami.6b11207,"“…In recent years, some attractive fluorescent probes that exhibit high selectivity and sensitivity toward H 2 O 2 /glucose have been reported.  [ref], [ref]  However, a majority of these probes use a single fluorescent intensity as the sensing signal, and as a result they tend to be influenced by variations in probe concentrations, sample thickness, excitation intensity, and emission collection effciency. Alternatively, ratiometric fluorescence measurement, which could afford simultaneous recording of two measurable signals under one excitation wavelength, has been widely used for biomolecule detection and cell imaging.  [ref]−[ref] [ref]  The built-in correction capability afforded by ratiometric fluorescence assay provides the possibility of eliminating false signals from environmental effects and thus creating advantages in terms of improved sensitivity and precision.  [ref], [ref] …”",Scite,,2016,ACS Applied Materials &amp; Interfaces
10.1021/acsami.6b12113,"“…Owing to their bright luminescence, water solubility, biocompatibility, and low cost, photoluminescent carbon nanodots (CDs) have drawn significant attention as a new member of the nanocarbon family.  [ref], [ref]  They offer a potential alternative to traditional semiconductor QDs such as CdSe, CdTe, and PbS. Progress has been made in synthetic approaches to CDs,  [ref], [ref]  including improvements in the CDs’ quantum yields (QY), [ref] their spectral tunability,  [ref], [ref]  and their solid-state optical performance.  [ref], [ref]  Promising applications have been demonstrated in the field of biological imaging,  [ref]−[ref] [ref]  light harvesting, [ref] sensing,  [ref]−[ref] [ref]  and solid-state lighting.  [ref]−[ref] [ref] [ref] [ref] [ref]  The potential of CDs as the color-converting phosphors for producing white-light LEDs has been demonstrated previously.  [ref]−[ref] [ref]  However, those systems are not ideal, due to nanoparticle aggregation and suboptimal spectral matching between the emission of the LED chip and the absorption of the CDs. Issues such as significant spectral red-shifts and broadening have been observed.…”",Scite,,2016,ACS Applied Materials &amp; Interfaces
10.1039/9781782623939-00158,,Scopus citing DOI,,2016,Nanoscience &amp; Nanotechnology Series
10.1088/0957-4484/27/39/395706,"“…Besides this, CDs possess many other outstanding advantages, such as high aqueous solubility, good biocompatibility and versatile surface chemical modification. These unique properties mean CDs are extensively applied in photocatalysis [3,4], optoelectronic devices [5,6], chemical sensors [7], biosensors [8], bio-imaging [9][10][11], drug and gene delivery [12,13], and so on. Nitrogen doping can effectively improve the fluorescent quantum yield (QY) and continues to draw increasing attention [14].…”",Scite,,2016,Nanotechnology
10.1166/jbn.2016.2225,,Scopus citing DOI,,2016,Journal of Biomedical Nanotechnology
10.1002/bio.3326,"“…The results showed that there was almost no interference for the detection of Al 3+ in the presence of K + , Na + , Ni 2+ , Mg 2+ , Ca 2+ , Mn 2+ , NH 4 + , Co 2+ , Li + , Fe 2+ , Ba 2+ , Pb 2+ and Cr 3+ , whereas a relatively low, but clearly detectable response was observed in the presence of Cu 2+ and Fe 3+ . This might be because Cu 2+ and Fe 3+ are paramagnetic in nature, and in most of the cases behave as fluorescence quenchers [refs]. Therefore, L was shown to be a promising selective fluorescent sensor for Al 3+ in the presence of most competing metal ions.…”",Scite,,2017,Luminescence
10.1002/bio.3326,"“…This might be because Cu 2+ and Fe 3+ are paramagnetic in nature, and in most of the cases behave as fluorescence quenchers. [26,27] Therefore, L was shown to be a promising selective fluorescent sensor for Al 3+ Reversibility is a prerequisite in developing novel chemosensors for practical applications. [28] Thus, the reversibility of the recognition process of sensor L was performed by adding an Al 3+ bonding agent, EDTA ( Figure S9).…”",Scite,,2017,Luminescence
10.1002/cphc.201601249,"“…Along with the formation of CuS, electron transfer from the Qdots to Cu 2+ is also possible, as suggested by the reduction potential of Cu 2+ (0.3419 V), which lies below the reduction potential of the Qdots . The Stern–Volmer binding constant was found to be 8.73×10 5 m −1 (Figure S10), which is comparable to earlier reported methods [ref]. The detection limit for Cu 2+ ions was found to be 33.1 n m , which is far lower than the prescribed limit of 20 μ m in drinking water given by the U.S. Environmental Protection Agency (EPA).…”",Scite,,2017,ChemPhysChem
10.1002/cphc.201601249,"“…[38] The Stern-Volmer binding constant was found to be 8.73 10 5 m À1 (Figure S10), which is comparable to earlier reported methods. [39] The detection limit for Cu 2 + ions was found to be 33.1 nm,w hich is far lower than the prescribedl imit of 20 mm in drinking water given by the U.S. Environmental Protection Agency( EPA). Furthermore, the effect of Cu 2 + in the presence of the Qdot-CdotE Ts ystem showed enhanced quenching of the Qdot emission as compared with bare Qdots (Figure S11).…”",Scite,,2017,ChemPhysChem
10.1007/s00216-017-0183-3,The absorption bands at 3000–3500 cm−1 (Fig. 1c) were assigned to stretching vibrations of O-H and N-H [18].,SemSchol&FB,,2017,Analytical and Bioanalytical Chemistry
10.1007/s00216-017-0183-3,"The bands at 1592 and 1352 cm−1 were from the bending vibrations of N-H and C-NH, respectively [18], which indicated that there were lots of amino groups on the surface of CQDs and the successful adulteration of nitrogen atoms into the CQDs. The peak at 1400 and 930 cm−1 could be ascribed to the COO− group while the peak at 1700 cm−1 was ascribed to the C=O stretching vibration [17, 18].",SemSchol&FB,,2017,Analytical and Bioanalytical Chemistry
10.1007/s00216-017-0183-3,"The full range XPS analysis indicated that the CQDs sample is composed of carbon, nitrogen, and oxygen, in which the attributed peaks appeared at 285.1, 399.0, and 531.1 eV, respectively (Fig. 2a) [18, 19]. In the expanded XPS spectra, the high-resolution C1s spectrum (Fig. 2b) showed four peaks centered at 284.7, 285.8, 287.4, and 287.8 eV, assigning to carbons in the forms of C–C (sp3 ), C–N (sp3 ), C–O (sp3 ), and C=O (sp 2 ), respectively [18, 19]. The spectrum of N1s in CQDs (Fig. 2c) showed two separated peaks that correspond to C–N (398.4 eV) and C–(O)–N (400.0 eV) functional groups, further verifying the as-synthesized CQDs were Ndoped CQDs [18, 19].",SemSchol&FB,,2017,Analytical and Bioanalytical Chemistry
10.1002/adma.201700150,,Scopus citing DOI,56.pdf,2017,Advanced Materials
10.1002/anie.201710863,,Scopus citing DOI,119.pdf,2017,Angewandte Chemie International Edition
10.1002/smll.201602055,"“…Carbon nanodots (CNDs), an emerging class of carbon‐based luminescent nanomaterials, have drawn increasing attention owing to their extensive applications in various fields, such as bioimaging, biosensors, optoelectronics, laser, catalysis, and so forth [refs]. CNDs possess several distinct merits, such as tunable emission, high photostability, low cost, and low cytotoxicity [refs]. Thus, CNDs‐based phosphors are desirable as a color conversion layer in LEDs [refs].…”",Scite,,2017,Small
10.1007/s00604-017-2076-8,"Although many kinds of functionalized CDs have been developed as fluorescent probes for detection ions, it is remain challenge to develop simple synthesis and bran-new high sensitivity and selectivity methods for the CDs, and making them widely applied [22, 23].",SemSchol&FB,,2017,Microchimica Acta
10.1007/s00604-017-2108-4,,Scopus citing DOI,90.pdf,2017,Microchimica Acta
10.1007/s00604-017-2206-3,,Scopus citing DOI,,2017,Microchimica Acta
10.1007/s11051-017-3915-6,"…for cations are based on the emission quenching caused by interaction of the metal with the dot (Gonçalves et al. 2010; Liu et al. 2012; Li et al. 2014; Dong et al. 2012; Zhu et al. 2012; Sun et al. 2013; Rao et al. 2015; Wang et al. 2014), typically due to electron transfer from the excited state.",SemSchol&FB,,2017,Journal of Nanoparticle Research
