Citing DOI,Citation ID,CC paragraph,Cited title,DOI
10.1021/acsomega.3c07612,ref202,"Wang et al. reported the synthesis of boron-doped CDs
through a hydrothermal method using ascorbic acid and boric acid as
precursors. The as-prepared CDs have an irregular shape with a particle
diameter of 10 nm and exhibit strong fluorescence. Since the formation
of nonfluorescent metal complexes between chelating oxygen atoms on
the surface of the CDs, fluorescence is quenched by Cu(II) and Pb(II)
ions. A sensitive B-CDs-based FL analytical system for Cu 2+  and Pb 2+  ions was designed by taking advantage of the
efficient FL quenching effect of Cu 2+  and Pb 2+  ions caused by charge transfer between −COO/OH groups or
bidentate OH-donors and Cu 2+  or Pb 2+  ions, respectively.
It is significant to note that the quenched Cu (II)-quenched B-CDs
complexes system exhibits very sensitive and selective detection of
PPi by a FL recovery procedure, whereas Pb(II)-quenched B–C-dots
enable recovery selective detection of Pb 2+  and Cu 2+  ions. A detection range of 8.47–13.56 nM was achieved
through this fluorescent probe. 199  Dong
et al. developed a novel sensing method for the detection of Cu 2+  ions based on the quenched fluorescence (FL) signal of branched
poly(ethylenimine) (BPEI)-functionalized carbon quantum dots (CQDs).
It was observed that the polyamine-functionalized CQDs were efficient
FL probes for detecting Cu 2+  ( Figure  7 a). The amino groups on the surface of the
BPEI-CQDs can interact with Cu 2+  ions to form an absorbent
complex, which then causes the FL of the CQDs to be sensitively quenched
by means of an inner filter effect. With a detection limit as low
as 6 nM and a dynamic range of 10 to 1100 nM, this simple approach
can provide a quick, reliable, and selective detection of Cu 2+ . The FL-based sensing system based on CQDs has been found to have
promising applications in the detection of Cu 2+  in environmental
water samples and exhibits several benefits including quick detection,
high sensitivity, good selectivity, wide linear response range, and
low cost. 200  Sun et al. reported the fabrication
of a novel, highly fluorescent Cu 2+  sensing probe using
hydrothermal treatment of graphene quantum dots (GQDs). The greenish-yellow
fluorescent GQDs (gGQDs) with a low quantum yield (QY, 2.5%) are changed
into amino-functionalized GQDs (afGQDs) with a high QY (16.4%) after
hydrothermal treatment in ammonia. The selectivity of afGQDs for Cu 2+  is substantially higher than that of gGQDs because the Cu 2+  ion has a higher binding affinity and faster chelating kinetics
with N and O on the surface than other transition metal ions. Importantly,
amination transformed the GQDs’ surface charge from negative
to positive, thereby making it easier for cells to absorb the of GQDs.
In order to detect Cu 2+  in aqueous solutions and even in
live cells, a simple fluorescence sensor can be fabricated by utilizing
the aforementioned features having a limit of detection of 6.9 nM 201  ( Figure  7 b).  N -(2-Aminoethyl)- N , N , N ′-tris(pyridin-2-ylmethyl)ethane-1,2-diamine
(AE-TPEA), an organic molecule specific for Cu 2+  ions,
was integrated by Zhu et al. into a hybrid system made of carbon and
CdsSe/ZnS quantum dots (QDs), leading to the development of a selective
and sensitive ratiometric strategy for intracellular sensing of Cu 2+  ions. As a dual-emission fluorophore (CdsSe/C nanohybrid),
the CQDs emitting blue fluorescence are hybridized with the CdsSe/ZnS
QDs emitting red fluorescence ( Figure  7 c). The CdSe/ZnS QDs embedded in silica shells (CdSe/SiO 2 ) are inert to Cu 2+  ions and only serve as reference
signals for a built-in correction to avoid environmental effects.
In the meanwhile, inorganic–organic CdSe/C-TPEA probes are
developed by conjugating the specific Cu 2+  ion receptor
AE-TPEA with the responsive CdSe/C nanohybrid. When excited at a single
wavelength of 400 nm, the hybrid probe exhibits two emission bands
with respective centered at 485 and 644 nm. While the fluorescence
of the red CdSe/SiO 2  particles does not change, that of
the blue CQDs functionalized with AE-TPEA selectively recognizes Cu 2+  ions. As a ratiometric fluorescent sensor for Cu 2+  ions, it results as a consequence of the constant color changes
caused by the addition of Cu 2+  ions, which are visible
with the naked eye under a UV light when the two fluorescence intensities
are varied. 202","Carbon-Dot-Based Dual-Emission Nanohybrid
Produces a Ratiometric Fluorescent Sensor for in Vivo Imaging of Cellular
Copper Ions",10.1002/anie.201109089
10.1021/acsomega.3c07612,ref202,"(a) Selectivity and FL
response of CQDs for Cu 2+  ions. Reprinted with permission
from ref ( 200 ). Copyright
2012 American Chemical Society. (b) Schematic illustration of copper
ion sensing by GQDs through quenching. Reproduced with permission
from ref ( 201 ). Copyright
2013 Wiley. (c) Schematic representation of dual-emission fluorescent
sensing of Cu 2+  ions based on a CdSe/C-TPEA nanohybrid.
Reproduced with permission from ref ( 202 ). Copyright 2012 Wiley.","Carbon-Dot-Based Dual-Emission Nanohybrid
Produces a Ratiometric Fluorescent Sensor for in Vivo Imaging of Cellular
Copper Ions",10.1002/anie.201109089
10.1021/acsomega.3c07612,ref202,"(a) PL emission spectra of CDs with varying concentration
of Fe 3+  and visual detection under both normal light and
under UV. Reproduced with permission from ref ( 155 ). Under the Creative Common
Attribution 4.0 International License. (b) The maximum fluorescence
intensity ratio of PVA-CNDs hydrogel; fluorescence spectra (λ ex  = 470 nm) of the hydrogel with different concentrations
of Fe 3+ . Reproduced with permission from ref ( 221 ). Copyright 2019 Wiley.","Carbon-Dot-Based Dual-Emission Nanohybrid
Produces a Ratiometric Fluorescent Sensor for in Vivo Imaging of Cellular
Copper Ions",10.1002/anie.201109089
10.1038/s41467-024-47549-1,CR20,"In the past several decades, many methods have been widely used to detect either Cu 2+  or Cu + , such as atomic absorption spectrometry (AAS) 11 , mass spectrometry (MS) 12 , fluorescent methods 13 – 15 , and electrochemical methods 16 . We have designed and developed several ratiometric fluorescent and electrochemical sensors to monitor and accurately quantify either Cu 2+  or Cu +  in the live brain or living cells with high selectivity 17 – 20 . However, simultaneous quantitative analysis of Cu +  and Cu 2+  is quite difficult. Surface-enhanced Raman spectroscopy (SERS) offers highly sensitive molecular fingerprint information, as well as resistance to autofluorescence and photobleaching 21 , 22 . Recently, an SERS probe was developed by our group for simultaneous sensing of extracellular Cu +  and Cu 2+  in mouse cerebral cortex, and three routes were proposed for explaining the mechanisms of Cu +  and Cu 2+  increases during ischemia 23 . However, whether the increase in extracellular copper ions originated from inside the live cells remains unclear. More importantly, the contributions of Cu +  and Cu 2+  to cell death in processes related to Cu accumulation, such as ischemia and cuproptosis 24 – 27 , has not yet been elucidated, due to the lack of powerful tools for sensing and quantitative analysis of Cu +  and Cu 2+  simultaneously, especially in mitochondria. To draw a clear picture of the mechanisms of copper accumulation-related processes, the development of an effective probe for simultaneous analysis of mitochondrial Cu +  and Cu 2+  was needed, particularly in mitochondria. However, SERS probes assembled based on Au-S bonds are easily susceptible to unpredictable aggregation in cells 28 – 30 . In addition, the SERS response signal below 1100 cm −1  could be easily affected by native species in the complex cellular environment 31 , 32 . It is therefore desirable to develop a single SERS probe for real-time imaging and accuracy qualifying of intracellular Cu +  and Cu 2+  simultaneously, especially in mitochondria.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
10.3390/nano12060898,B118-nanomaterials-12-00898,"Fe-CDs were prepared by Zhao et al., from ammonium iron (III) citrate and urea as precursors. via hydrothermal reaction at 180 °C for six hours in stainless steel autoclave [ 114 , 115 , 116 , 117 , 118 , 119 ]. The products were then cooled to room temperature and neutralized to pH 7.0. The Fe-CDs proved to be promising dual-mode fluorometric and colorimetric nanosensors for Fe 3+  detection [ 113 ].  Figure 7 e,f show that the blue photoluminescence of Fe-CDs was quenched upon addition of Fe 3+  ions and the absorption band at 335 nm was increased [ 113 ]. The authors suggest that the actual coordination exchanges between Fe 3+  and the organic functional groups on the surface of the Fe-CDs contribute to the formation of the conjugate structure. According to He et al., Fe-CDs-Au Nano crystals (NCs) nanoprobes were prepared for ratiometric fluorescence detection of Zn 2+  at two emission wavelengths (445 nm and 650 nm) [ 113 ]. It was found that the red fluorescence of the Au nanocrystals increased with increasing Zn 2+  concentration, whereas the blue fluorescence of the Fe-CDs nanoparticles was independent [ 113 ]. This has been ascribed to the AIE enhancement of the Au nanocrystals. Adding Zn 2+  to the solution mixture caused the fluorescent color to change from blue to pink.",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.3390/nano12060898,B118-nanomaterials-12-00898,"Doped CDs can be used in biological sensing due to their excellent electronic and electrochemical properties. Doped or hybrid CDs are utilized for photoluminescence, electrochemiluminescence and electrochemical sensors [ 114 ]. Benefitting from the turn-off of the photoluminescence properties of CDs, biological ions, biomolecules (sugar, antibodies, other sugars, amino acid) and proteins can be detected [ 115 , 116 , 117 ]. Cu 2+  and Fe 3+  ions play a crucial role in detection of diseases [ 118 , 119 ]. Hence, CDs can be used for detecting such ions which are co-factors for specific diseases. To detect a particular gene classification, even enzymatic reactions cannot be used. Since DNA has a highly specific nucleotide sequence, the principle of complementation is the only viable solution [ 51 ]. A combination of novel CDs and DNA probe for biosensor activity has been received wide-ranging interest in recent years due to their better functionalized properties of CDs and their superior affinity towards DNA, either by assembling or electrostatic charges interaction. Using the principle of DNA complementation, CDs coated with DNA were probed and placed on an Au nanoelectrode to create a DNA biosensor [ 120 ]. Nucleic acid biosensors often use the “on-off-on” strategy, just like other types of biosensors. In the case of DNA hybridization between two DNAs (single-stranded), the binding force is considerable greater than that of a single strand DNA with a quencher [ 120 ]. This is caused by the unique matching structures of DNA strands. Since the DNA strand has a strong tendency to complicate with the quencher, even the already-quenched CDs PL can be recovered in the occurrence of the DNA target strand ( Figure 8 a) [ 51 ]. In a hybrid CD-based optical biosensor, the degree of fluorescence reduction is used to detect target analytes. As an example, Shen et al. [ 115 ] designed a glucose biosensor based on phenyl-boronic acid-derived CDs particles. The surface boric acid of the CD interacts with glucose, allowing FRET energy transfer between the CD and glucose, effectively quenching the CD’s fluorescence ( Figure 8 b) [ 51 ]. As a result of the degree of fluorescence quenching, the body’s glucose levels are assessed, achieving a 10–250 times higher sensitivity than the previous boric acid fluorescent nano-sensing exposure system [ 51 ].",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.3390/nano12060898,B118-nanomaterials-12-00898,"Bioimaging uses organic and inorganic fluorophores, which induce weak fluorescence and thus require binding with antibody molecules for cellular uptake. [ 126 ]. Metal-doped CDs, due to their exceptional optical properties, tissue compatibility and efficient cellular uptake, are gaining popularity as a substitute to organic/inorganic fluorophores [ 126 ]. The biological applications of metal-doped CDs show promising results when formulated by the sonochemical method. This is due to their high biocompatibility whereas cytotoxicity can be induced during chemical preparation via the use of toxic chemicals and adverse conditions [ 78 ]. Metal-doped CDs were used as fluorescent tags for cell imaging by Sun et al., [ 127 ]. Furthermore, metals-doped CDs (Ga, Ag, Au, Sn, and Zn) have been widely used to image intracellular diverse cells, such as HeLa cells, HepG2 cells line, and neuronal cells line such as PC12 and SH-SY5Y ( Figure 9 ) [ 12 ]. The optical properties [ 128 ] of doped CDs were also used for real-time molecules stalking in living cells, due to their superior photostability, biocompatibility and bright fluorescence [ 128 ]. Zheng et al., used the CDs to conjugate with protein for real-time monitoring [ 129 ]. When imaging fluorescent probes in vivo, long wavelengths are crucial, and they must be transparent to biological tissues in comparison to cell imaging and cellular uptake. Due to their multicolor fluorescence properties, hybrid or doped CDs are a good choice for in vivo imaging. Huang et al., described in vivo imaging with N-doped CDs injected to mice [ 130 ].",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1016/j.bioactmat.2023.10.025,bib155,"Metal ions are an indispensable element for numerous biological processes and their regulation is essential to maintain normal functions of living organisms through a variety of physiological processes [ 153 ]. The metal ion imbalance in cells and tissues can lead to various diseases, and thus it is crucial to screen the content of metal ions [ 154 , 155 ]. There are different ways to detect metal ions. For example, Choi et al. [ 156 ] detected the concentration of Cu 2+  based on plasmonic resonance energy transfer-based nanoscale spectroscopy, and Bar-shir et al. [ 157 ] performed the specific magnetic resonance imaging of Ca 2+  by coupling ion chemical exchange saturation transfer (CEST) to the broad range of chemical shifts in 19F NMR spectroscopy. Nevertheless, because the complex environment makes the traditional method less sensitive and unable to accurately predict the diseases, it is not easy to detect the metal ions in living organisms. Coordination of metals to unmodified DNA strands provides a new opportunity for the construction of new-type of probes for estimating the metal ion level that is used to evaluate the health of living organisms [ 158 ]. DNA strands have been demonstrated to be competent to design the sensing systems for the specific detection of metal ions [ 159 , 160 ]. For instance, by assembling DNA tetrahedron from a series of metal ion specific sequences, Qu et al. [ 161 ] developed the three-dimensional DNA nanostructure-encoded microchannels with spatial resolution ( Fig. 10 A) for the sensitive and selective detection of multiple heavy-metal ions. The channel used a DNA tetrahedral structure as a detection sensor, and adopted a bubble mediated shuttle reaction to improve the detection speed and efficiency. Three metal ions, Hg 2+ , Ag +  and Pb 2+ , were detected simultaneously (or individually) by this system, and the detection limits were 10 nM, 10 nM and 20 nM, respectively. Similarly, utilizing on the stable thymine-Hg 2+ -thymine complex, Yin’s group [ 162 ] established a DNA tetrahedron-based electrochemical sensor for the specific detection of mercury ions ( Fig. 10 B). Compared with the linear DNA-based detection of metal ions, DNA tetrahedral structure could be used to anchor onto the electrode surface in an orderly and directional manner, and the passivation process of the electrode was avoided. The detection limit of 100 pM was achieved. It can be envisioned that, with the help of coordination interaction between DNA bases and metal ions, DNA tetrahedron based sensing strategy is promising for metal ion detection within cells and in living organisms. Interestingly, for now, because metal ions often serve as the cofactors of DNAzymes, specifically-designed DNAzyme probes are more commonly involved for the detection and quantification of metal ions within living cells than DNA framework nanostructures [ [163] ,  [164] ,  [165] ,  [166] ,  [167] ,  [168] ,  [169] ]. It is interesting to note that DNA tetrahedral nanostructure can enhance the stability of DNAzyme probes against enzymatic degradation in intracellular medium. For example, by combining two DNAzymes with DNA tetrahedrons, Xiang's group proposed a dual-color encoded DNAzyme nanoprobe for the multiplexed sensing of UO 2 2+  and Pb 2+  in living cells [ 170 ]. The tetrahedron-based nanoprobes could stably exist in cell lysates over 24 h. Fig. 10 DNA tetrahedron-based biosensors for the detection of metal ions and viruses. (A) Three-dimensional DNA tetrahedral nanostructure-encoded microchannels with spatial resolution for the multiplex detection of metal ions. Reprinted with permission from Ref. [ 161 ]. Copyright 2017, American Chemical Society. (B) Electrochemical sensor for the specific detection of mercury ions based on the combination of DNA tetrahedron and functional oligonucleotide. Reproduced with permission from Ref. [ 162 ]. Copyright 2011, Royal Society of Chemistry. (C) Surface plasmon resonance (SPR) sensor on the basis of the double-layer DNA tetrahedrons and entropy-driven strand displacement reactions (ESDRs) for the detection of HIV-related DNAs. Reproduced with permission from Ref. [ 177 ]. Copyright 2017, Elsevier B.V. (D) DNA tetrahedral electrochemical biosensors for the detection of H7N9 avian influenza virus through recognizing a fragment of the hemagglutinin gene sequence. Reprinted with permission from Ref. [ 184 ]. Copyright 2015, American Chemical Society. Fig. 10",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1016/j.bioactmat.2023.10.025,bib155,"Cantilever-mediated orientation refers to the attachment of functional molecules or moieties to the edge arms of DNA tetrahedron [ 388 , 399 , 400 ]. Considerable number of researchers used cantilever orientation technology to install the specific molecules onto DNA tetrahedron, achieving unique features, such as the resistance to enzymatic degradation [ 33 ] and collective effect of DNA nanoframework and functional molecules [ 113 , 147 ]. Moreover, cantilever-mediated orientation enabled better the control over the spatial position and density of functional moieties [ 59 ], achieving synergistic effect between several functional moieties at different positions. Therefore, Jiang et al. [ 35 ] constructed multi-cantilever DNA tetrahedral nanostructure for dual-modality imaging of tumor based on near-infrared (NIR) fluorescence and single-photon emission computed tomography (SPECT) ( Fig. 19 A). The folic acid, NIR emitter DyLight 755, and radioactive isotope  99m TC were precisely decorated onto the cantilever or vertex. The folic acid endowed nanostructure with tumor-targeting ability, while NIR 755 and  99m TC were used to perform NIR optical and SPECT imaging effects, respectively. This method realized noninvasive and accurate tumor imaging in mouse model. Tian et al. [ 401 ] designed a DNA nano-framework probe for the targeted imaging of brain tumors based on cantilever-mediated orientation of functional moieties onto DNA tetrahedron ( Fig. 19 B). Specifically, Angiopep-2 (ANG) and near-infrared DyLight 755 groups were separately positioned onto DNA tetrahedron in a cantilever-mediated manner. The resulting ANG-modified probe exhibited a lengthened incubation time, while ANG functionalization made DNA tetrahedron cross the BBB and accurately targeted U87MG human malignant glioma, and DyLight 755 was used for fluorescence imaging. The experimental results proved that the cantilever-mediated modification of DNA tetrahedron effectively controlled the spatial position of each functional group and accurately regulated the space and stoichiometry. Moreover, the cantilever-mediated orientation strategy was also suitable for the location of therapeutic molecules and targeting ligand for precisely-targeted delivery for the cancer therapy [ 402 ]. Fig. 19 Cantilever-mediated orientation of targeting ligands onto DNA tetrahedron. (A) Multiple-armed DNA tetrahedral nanostructure modified with folic acid and signaling species for tumor-targeting imaging. Reprinted with permission from Ref. [ 35 ]. Copyright 2016, American Chemical Society. (B) Angiopep-2 peptide-functionalized tetrahedral framework nucleic acids for targeted imaging of brain tumors. Reprinted with permission from Ref. [ 401 ]. Copyright 2018, American Chemical Society. Fig. 19",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1016/j.bioactmat.2023.10.025,bib155,"Cantilever-mediated orientation of targeting ligands onto DNA tetrahedron. (A) Multiple-armed DNA tetrahedral nanostructure modified with folic acid and signaling species for tumor-targeting imaging. Reprinted with permission from Ref. [ 35 ]. Copyright 2016, American Chemical Society. (B) Angiopep-2 peptide-functionalized tetrahedral framework nucleic acids for targeted imaging of brain tumors. Reprinted with permission from Ref. [ 401 ]. Copyright 2018, American Chemical Society.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
